Timestamp,Vehicle ID,Speed (km/h)
20250404_133015,16,66.8,snapshots\vehicle_16_20250404_133015.jpg
20250404_133015,23,85.5,snapshots\vehicle_23_20250404_133015.jpg
20250404_133015,16,68.2,snapshots\vehicle_16_20250404_133015.jpg
20250404_133015,23,87.6,snapshots\vehicle_23_20250404_133015.jpg
20250404_133015,16,64.6,snapshots\vehicle_16_20250404_133015.jpg
20250404_133015,23,88.2,snapshots\vehicle_23_20250404_133015.jpg
20250404_133016,16,61.5,snapshots\vehicle_16_20250404_133016.jpg
20250404_133016,23,88.4,snapshots\vehicle_23_20250404_133016.jpg
20250404_133016,16,60.2,snapshots\vehicle_16_20250404_133016.jpg
20250404_133016,23,88.5,snapshots\vehicle_23_20250404_133016.jpg
20250404_133016,16,57.6,snapshots\vehicle_16_20250404_133016.jpg
20250404_133016,23,88.5,snapshots\vehicle_23_20250404_133016.jpg
20250404_133016,16,56.8,snapshots\vehicle_16_20250404_133016.jpg
20250404_133016,23,88.5,snapshots\vehicle_23_20250404_133016.jpg
20250404_133016,16,56.6,snapshots\vehicle_16_20250404_133016.jpg
20250404_133016,23,88.5,snapshots\vehicle_23_20250404_133016.jpg
20250404_133016,16,56.5,snapshots\vehicle_16_20250404_133016.jpg
20250404_133016,23,88.5,snapshots\vehicle_23_20250404_133016.jpg
20250404_133016,16,56.5,snapshots\vehicle_16_20250404_133016.jpg
20250404_133016,23,88.5,snapshots\vehicle_23_20250404_133016.jpg
20250404_133016,16,56.5,snapshots\vehicle_16_20250404_133016.jpg
20250404_133016,23,88.5,snapshots\vehicle_23_20250404_133016.jpg
20250404_133016,16,56.5,snapshots\vehicle_16_20250404_133016.jpg
20250404_133016,11,50.4,snapshots\vehicle_11_20250404_133016.jpg
20250404_133016,16,56.5,snapshots\vehicle_16_20250404_133016.jpg
20250404_133016,26,53.5,snapshots\vehicle_26_20250404_133016.jpg
20250404_133016,11,54.6,snapshots\vehicle_11_20250404_133016.jpg
20250404_133016,16,56.5,snapshots\vehicle_16_20250404_133016.jpg
20250404_133016,26,57.8,snapshots\vehicle_26_20250404_133016.jpg
20250404_133016,11,59.1,snapshots\vehicle_11_20250404_133016.jpg
20250404_133016,16,56.5,snapshots\vehicle_16_20250404_133016.jpg
20250404_133016,26,62.3,snapshots\vehicle_26_20250404_133016.jpg
20250404_133016,11,63.2,snapshots\vehicle_11_20250404_133016.jpg
20250404_133016,16,56.5,snapshots\vehicle_16_20250404_133016.jpg
20250404_133016,26,66.0,snapshots\vehicle_26_20250404_133016.jpg
20250404_133017,11,63.8,snapshots\vehicle_11_20250404_133017.jpg
20250404_133017,26,68.8,snapshots\vehicle_26_20250404_133017.jpg
20250404_133017,11,63.1,snapshots\vehicle_11_20250404_133017.jpg
20250404_133017,26,72.5,snapshots\vehicle_26_20250404_133017.jpg
20250404_133017,11,61.8,snapshots\vehicle_11_20250404_133017.jpg
20250404_133017,26,76.3,snapshots\vehicle_26_20250404_133017.jpg
20250404_133017,11,63.0,snapshots\vehicle_11_20250404_133017.jpg
20250404_133017,26,78.3,snapshots\vehicle_26_20250404_133017.jpg
20250404_133017,11,64.4,snapshots\vehicle_11_20250404_133017.jpg
20250404_133017,26,77.4,snapshots\vehicle_26_20250404_133017.jpg
20250404_133017,11,63.5,snapshots\vehicle_11_20250404_133017.jpg
20250404_133017,26,75.0,snapshots\vehicle_26_20250404_133017.jpg
20250404_133017,11,61.0,snapshots\vehicle_11_20250404_133017.jpg
20250404_133017,26,73.1,snapshots\vehicle_26_20250404_133017.jpg
20250404_133017,11,58.4,snapshots\vehicle_11_20250404_133017.jpg
20250404_133017,26,71.4,snapshots\vehicle_26_20250404_133017.jpg
20250404_133017,11,56.5,snapshots\vehicle_11_20250404_133017.jpg
20250404_133017,26,70.9,snapshots\vehicle_26_20250404_133017.jpg
20250404_133017,11,55.9,snapshots\vehicle_11_20250404_133017.jpg
20250404_133017,26,70.8,snapshots\vehicle_26_20250404_133017.jpg
20250404_133017,11,55.7,snapshots\vehicle_11_20250404_133017.jpg
20250404_133017,26,70.7,snapshots\vehicle_26_20250404_133017.jpg
20250404_133017,11,55.7,snapshots\vehicle_11_20250404_133017.jpg
20250404_133017,26,70.7,snapshots\vehicle_26_20250404_133017.jpg
20250404_133018,11,55.7,snapshots\vehicle_11_20250404_133018.jpg
20250404_133018,26,70.7,snapshots\vehicle_26_20250404_133018.jpg
20250404_133018,11,55.7,snapshots\vehicle_11_20250404_133018.jpg
20250404_133018,26,70.7,snapshots\vehicle_26_20250404_133018.jpg
20250404_133018,11,55.7,snapshots\vehicle_11_20250404_133018.jpg
20250404_133018,26,70.7,snapshots\vehicle_26_20250404_133018.jpg
20250404_133018,11,55.7,snapshots\vehicle_11_20250404_133018.jpg
20250404_133018,26,70.7,snapshots\vehicle_26_20250404_133018.jpg
20250404_133018,11,55.7,snapshots\vehicle_11_20250404_133018.jpg
20250404_133018,26,70.7,snapshots\vehicle_26_20250404_133018.jpg
20250404_133018,11,55.7,snapshots\vehicle_11_20250404_133018.jpg
20250404_133018,26,70.7,snapshots\vehicle_26_20250404_133018.jpg
20250404_133018,11,55.7,snapshots\vehicle_11_20250404_133018.jpg
20250404_133018,19,55.1,snapshots\vehicle_19_20250404_133018.jpg
20250404_133018,19,59.8,snapshots\vehicle_19_20250404_133018.jpg
20250404_133018,19,61.2,snapshots\vehicle_19_20250404_133018.jpg
20250404_133018,19,71.4,snapshots\vehicle_19_20250404_133018.jpg
20250404_133018,19,78.0,snapshots\vehicle_19_20250404_133018.jpg
20250404_133018,19,80.0,snapshots\vehicle_19_20250404_133018.jpg
20250404_133019,19,80.6,snapshots\vehicle_19_20250404_133019.jpg
20250404_133019,19,87.9,snapshots\vehicle_19_20250404_133019.jpg
20250404_133019,19,90.4,snapshots\vehicle_19_20250404_133019.jpg
20250404_133019,19,91.2,snapshots\vehicle_19_20250404_133019.jpg
20250404_133019,19,91.4,snapshots\vehicle_19_20250404_133019.jpg
20250404_133019,19,91.5,snapshots\vehicle_19_20250404_133019.jpg
20250404_133019,19,91.5,snapshots\vehicle_19_20250404_133019.jpg
20250404_133019,19,91.5,snapshots\vehicle_19_20250404_133019.jpg
20250404_133019,19,91.5,snapshots\vehicle_19_20250404_133019.jpg
20250404_133019,19,91.5,snapshots\vehicle_19_20250404_133019.jpg
20250404_133019,19,91.5,snapshots\vehicle_19_20250404_133019.jpg
20250404_133019,19,91.5,snapshots\vehicle_19_20250404_133019.jpg
20250404_133019,19,91.5,snapshots\vehicle_19_20250404_133019.jpg
